,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,aveaffinty
65064,0.33833915638000006,0.0,440.231,12.7216341753,0.507679031207,12.7216341753,-0.507679031207,458.084911396,172.0,-1.18114916646,0.052570264331599996,0.33833915638000006,1.74726057322,1221.42740425,24.0242150685,16.6283625701,16.6283625701,15.544621651099998,9.47054310261,9.47054310261,7.398788707989999,7.398788707989999,5.151455084569999,5.151455084569999,3.5510570821699994,3.5510570821699994,-4.67,17548920.072,21.5578302623,7.786084613080001,3.86805626148,184.742011412,50.3259450663,23.352501887600003,40.6010373875,0.0,0.0,5.969305287949999,0.0,4.794537184069999,0.0,0.0,0.0,24.2654682738,29.680458743200003,5.5634514916999995,55.1204822504,5.969305287949999,0.0,0.0,0.0,18.628754398399998,0.0,53.088556885900005,0.0,51.7456064996,4.7368629538,0.0,51.7456064996,0.0,52.925490834399994,11.157684576700001,0.0,27.5888580469,36.398202410799996,0.0,0.0,0.0,197.37,52.6743090632,45.646756342799996,0.0,40.3597115979,0.0,30.3318353423,6.06636706846,0.0,0.0,0.0,9.4737259076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8333333333,0.13636363636399998,33.0,8.0,11.0,0.0,1.0,1.0,3.0,0.0,3.0,11.0,8.0,11.0,3.0,0.0,0.0,0.0,4.0,2.2332,108.9209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13440.0
153999,0.25913916242199997,0.0,440.333,13.201412492100001,0.37496594892800006,13.201412492100001,-0.37496594892800006,468.21614075599996,178.0,-0.348032073813,0.0740584320148,0.25913916242199997,1.6218321693200002,1507.21562215,24.103719048800002,19.9527725249,19.9527725249,17.008040390799998,12.037894937999999,12.037894937999999,9.583601916989998,9.583601916989998,6.99353937138,6.99353937138,5.46651412319,5.46651412319,-3.68,162815431.525,21.826719517199997,8.51712038915,3.6772313589199994,203.11441552099998,18.7709719802,0.0,0.0,0.0,11.814359458699998,0.0,14.9058629721,0.0,0.0,0.0,36.398202410799996,32.6488997252,64.9607092085,23.857057412399996,14.3259373219,44.766418383,0.0,19.3508976304,0.0,25.6143008225,27.2469823358,72.0515266743,0.0,0.0,5.316788604009999,0.0,0.0,0.0,59.1994172087,27.4154501338,0.0,17.5477246063,60.9246236909,0.0,32.9520589243,0.0,68.5,0.0,9.589074368139999,0.0,17.9183258465,24.2978474306,52.4430872823,0.0,0.0,48.791889553999994,45.5789757327,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31900604686,71.1809939531,0.28571428571400004,35.0,1.0,7.0,0.0,2.0,2.0,2.0,2.0,4.0,6.0,1.0,7.0,2.0,0.0,0.0,0.0,6.0,3.5137,136.7507,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
160355,0.22658469411200002,0.0,328.25,9.473546807939998,0.394242977646,9.473546807939998,-0.394242977646,354.21680945199995,138.0,-0.0788474368678,0.0358302136409,0.22658469411200002,1.9582850725999998,841.861560065,18.5182970901,15.476190474600001,15.476190474600001,12.617723500599999,9.017234640560002,9.017234640560002,6.5848570432899995,6.5848570432899995,4.32695409761,4.32695409761,2.72326641998,2.72326641998,-2.67,1065165.179,18.1310019811,8.13922696513,3.93543373196,153.061732742,20.307204250599998,0.0,16.981740716199997,5.94833928099,0.0,0.0,0.0,4.98397852095,9.96795704189,0.0,37.255572541999996,25.831747514,12.5865972351,18.9760428684,5.1065273948400005,22.930079997199996,0.0,19.5190352106,0.0,45.8204712862,17.2404591725,42.2226069088,0.0,0.0,10.633577208,11.766202058800001,0.0,0.0,37.2742853991,6.544756405909999,0.0,38.7973255428,36.6591554171,0.0,11.163877938399999,0.0,87.89,0.0,5.1065273948400005,0.0,18.6905636228,18.3109584647,17.584699561300003,5.5634514916999995,6.327320074759999,29.6899380529,51.5657213072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02359977324,53.4764002268,0.42105263157899997,26.0,3.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,3.0,7.0,8.0,0.0,0.0,0.0,3.0,3.2021,104.2642,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0
176167,0.25913916414500004,0.0,486.385,13.3391031317,0.349902300462,13.3391031317,-0.349902300462,515.232125168,194.0,-0.341653876632,0.31055905721099997,0.25913916414500004,1.28809957531,1770.53581052,26.509496442800003,21.8011389067,21.8011389067,19.080520035899998,13.4485370499,13.4485370499,10.4996673967,10.4996673967,8.16964235987,8.16964235987,6.29246774716,6.29246774716,-4.49,1845199184.75,23.6139874774,9.36088506214,3.9731423336900002,225.912670364,9.13419929558,0.0,0.0,0.0,11.814359458699998,0.0,24.789751223899998,0.0,0.0,0.0,42.4645694792,37.1071115197,84.247065592,16.840137055,9.589074368139999,44.766418383,0.0,24.3348761514,7.04767198268,25.4282404809,13.0895128118,102.14139944600001,0.0,0.0,5.316788604009999,0.0,0.0,0.0,43.9219598179,23.181502756700002,0.0,35.7043150532,85.3205684679,0.0,32.9520589243,0.0,72.16,0.0,9.589074368139999,0.0,11.814359458699998,17.1880498893,71.102593306,0.0,0.0,72.53939532140001,44.1637212806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33329089144,78.33337577520001,0.21875,39.0,1.0,7.0,0.0,2.0,2.0,2.0,3.0,5.0,6.0,1.0,7.0,5.0,0.0,1.0,1.0,7.0,4.9323,152.6057,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
395921,0.185307070706,0.0,240.185,9.30701247166,0.383492831285,9.30701247166,-0.383492831285,250.09669432,92.0,0.15310468631899998,0.15310468631899998,0.185307070706,2.5056615409200003,797.3517730839999,13.405412915,9.88309267083,9.88309267083,9.21954535281,5.60606786046,5.60606786046,4.06076134268,4.06076134268,2.9319608750999997,2.9319608750999997,2.10254188476,2.10254188476,-3.07,35934.709446,11.045231228599999,3.9947475010900004,1.5655186188899999,108.22437499799999,11.4673349543,23.2683983602,5.647177220770001,0.0,0.0,0.0,5.098681808299999,4.98397852095,10.360573363,0.0,30.3318353423,5.5634514916999995,5.5634514916999995,5.386224214459999,0.0,22.6691269909,5.26189155474,15.1813421375,0.0,0.0,11.4673349543,35.895286834000004,0.0,17.196124296199997,11.4673349543,11.635725555699999,0.0,0.0,15.1813421375,0.0,11.3311128675,5.5634514916999995,30.3318353423,0.0,22.160304418600003,0.0,117.4,0.0,5.26189155474,0.0,5.81786277784,27.9781671965,5.5634514916999995,0.0,0.0,30.3318353423,21.2505634503,11.4673349543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6666666667,0.0,19.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,3.0,6.0,1.0,0.0,0.0,0.0,3.0,1.66098,72.8645,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0
675788,0.265044707034,0.0,329.723,12.714599474000002,0.49671448547799996,12.714599474000002,-0.49671448547799996,345.059027432,118.0,-0.0703519463341,0.0703519463341,0.265044707034,1.89300577002,844.853800117,16.3969767466,12.875831874600001,14.448257401600001,11.0965554505,7.153046131989999,8.34750718593,5.25407178583,6.68423510016,3.6401303518800003,5.28531241335,2.41245053884,3.94759569813,-2.04,234028.628219,15.840489018900001,6.60484753511,3.1850818442,143.608460812,9.63677268465,10.626659027,0.0,0.0,5.907179729349999,0.0,4.794537184069999,0.0,0.0,11.336785877899999,41.9327752325,23.762552697100002,23.678572519499998,12.132430855,9.53140013787,38.9310496285,0.0,4.89990973085,0.0,6.544756405909999,14.157469524000001,63.994168546800005,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,22.9377257682,24.9645589842,6.544756405909999,0.0,15.2351358695,48.5309365477,5.02263331374,10.086144130900001,0.0,29.54,0.0,4.794537184069999,0.0,5.907179729349999,16.4445369134,21.399107455899998,11.336785877899999,19.0573792548,48.5309365477,0.0,16.337802844000002,0.0,7.813972908089999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.797138203,0.166666666667,23.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,3.0,4.8355,95.6265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6390.0
1003979,0.257084368248,0.0,376.30800000000005,12.6664425479,0.496757192843,12.6664425479,-0.496757192843,396.11437812,144.0,-0.234255198866,0.234255198866,0.257084368248,1.5881465142299998,1044.88000368,19.6729976285,15.8667702253,16.6832668063,13.622054798199999,8.82987786289,9.64637444382,6.33776536202,7.421387118139999,4.75246664151,5.783037923259999,3.31494248226,4.28539382564,-3.06,3663206.07215,18.3101515006,7.516493678480001,3.2893469075,166.641444288,14.210588861400002,5.749511833280001,16.630582146400002,0.0,5.907179729349999,0.0,10.1113257881,4.98397852095,0.0,11.336785877899999,0.0,54.8032971483,16.0040501771,27.023320618699998,19.0051260455,22.3755240871,0.0,4.98397852095,0.0,12.841643245899999,26.646181227800003,52.4022525879,0.0,28.505914986399997,19.5273774654,5.131558479840001,17.2485354999,11.336785877899999,32.2205508741,12.841643245899999,0.0,20.7985873612,36.398202410799996,0.0,11.257379486500001,0.0,69.68,0.0,4.794537184069999,0.0,5.907179729349999,22.1940336381,29.848534565700003,21.7773845633,39.5284938292,12.1327341369,16.3671341934,14.210588861400002,0.0,1.5192308358500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.980769164099996,0.23809523809500002,28.0,1.0,6.0,1.0,0.0,1.0,2.0,1.0,3.0,6.0,1.0,7.0,5.0,0.0,0.0,0.0,4.0,4.1868,109.0092,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24740.0
1013797,0.280825242892,0.0,347.718,12.345732945999998,0.49671448547799996,12.345732945999998,-0.49671448547799996,366.080491148,128.0,-0.39877196711999996,0.012786081196099999,0.280825242892,1.6901950090900002,768.5265817310001,17.1040835278,13.3558926176,14.9283181445,11.5965554505,7.96105684036,9.155517894299999,5.8855671133500005,7.315730427689999,4.318042697819999,5.973999738990001,2.96047473555,4.40118945203,-1.79,391585.246416,17.0466999412,7.402307925639999,3.49260206304,148.841794842,4.7368629538,10.626659027,0.0,5.907179729349999,5.907179729349999,0.0,20.4406571624,0.0,0.0,11.336785877899999,30.863404759,31.0407444512,16.0040501771,12.132430855,14.3259373219,44.838229357799996,0.0,10.8515827942,5.91790604616,32.1041081146,7.10979754128,28.0988817128,0.0,5.749511833280001,15.588445748,0.0,5.749511833280001,22.9377257682,18.924157,4.794537184069999,5.91790604616,41.7757924924,18.199101205399998,5.02263331374,10.086144130900001,0.0,67.43,5.907179729349999,9.589074368139999,0.0,11.8250857755,15.649292340699999,35.769430622600005,17.7576075009,13.1761646097,12.1327341369,10.8515827942,16.337802844000002,0.0,7.58110873416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3633357103,0.41176470588200004,24.0,2.0,5.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,7.0,3.0,1.0,0.0,1.0,3.0,3.9046,95.5709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19470.0
2807500,0.25751775386500003,0.0,330.23800000000006,12.337099574000002,0.486146864956,12.337099574000002,-0.486146864956,347.126991404,130.0,-0.245996035824,0.245996035824,0.25751775386500003,1.5655741253600002,954.7701600930001,17.9325106525,14.2295380475,14.2295380475,12.686673185799998,8.30015153257,8.30015153257,5.9440751339,5.9440751339,4.03260982716,4.03260982716,2.66103176385,2.66103176385,-3.41,1302775.1731399999,16.079811148599997,6.83660544546,3.34681279376,150.37729954,9.4737259076,13.213763929,11.499023666600001,5.94833928099,5.907179729349999,0.0,10.1113257881,9.96795704189,0.0,0.0,17.6961856286,43.3219396105,17.323746555,5.69392799485,14.268263091700002,11.8555190103,0.0,9.96795704189,0.0,6.92373719969,18.530552532999998,65.85468310270001,0.0,22.7564031531,14.790514511600001,5.94833928099,11.499023666600001,0.0,29.0889007003,0.0,6.92373719969,15.9214401675,54.7277801193,0.0,11.257379486500001,0.0,73.34,0.0,4.794537184069999,0.0,11.8555190103,30.220655248899998,16.876414816700002,0.0,24.395944776999997,37.255572541999996,15.2847456459,9.4737259076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8333333333,0.15,26.0,1.0,6.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,6.0,3.0,0.0,0.0,0.0,4.0,3.4755199999999995,97.5902,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0
3025986,0.22886301059300002,0.0,356.347,12.2488106993,0.44426245852799995,12.2488106993,-0.44426245852799995,380.13406800800004,136.0,-0.0352240175331,0.0352240175331,0.22886301059300002,1.5117083373500002,714.301437048,17.863596551700002,14.795005066400002,16.4279982282,11.9148348036,8.47021353747,10.2723086781,7.15489899515,9.4611429281,4.05522207426,6.14740487179,2.5319994269299997,4.26072379655,-1.38,589705.907978,18.412249175899998,7.884375502789999,5.054737419009999,155.755374419,15.0507281451,5.76024741887,5.131558479840001,11.7979036514,0.0,0.0,4.794537184069999,9.96795704189,0.0,11.7618849494,32.107997477,25.9311560577,11.3328965156,22.3557199275,9.21168812113,34.1374090365,0.0,15.2847456459,5.91790604616,48.989878098599995,18.406301415799998,24.044658484099998,0.0,0.0,10.633577208,5.131558479840001,0.0,23.0986708273,28.964649583099998,15.962381260199999,5.91790604616,45.2638261858,21.0200172578,0.0,0.0,0.0,80.05,0.0,4.794537184069999,0.0,17.2400762449,16.7751360086,35.9005826541,11.336785877899999,24.155572092600003,0.0,41.372745849,4.41715093705,0.0,3.1110947210699997,0.0,0.0,0.0,0.0,0.0,0.0,6.8351949341600005,43.63704367810001,0.588235294118,25.0,2.0,6.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,2.0,8.0,5.0,0.0,1.0,1.0,3.0,3.659,101.1014,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,340.0
5179806,0.26896746349399997,0.0,236.146,10.8385763453,0.309451064002,10.8385763453,-0.309451064002,246.07529018,92.0,-0.458856642596,0.0281016156463,0.26896746349399997,2.22930444743,588.5907229759999,13.1209558646,9.50592340834,9.50592340834,8.55855064806,5.13881038439,5.13881038439,3.65202993796,3.65202993796,2.2710895919,2.2710895919,1.4766976220899999,1.4766976220899999,-2.7,14608.4118335,11.775742406600001,4.659372985319999,2.51240120366,101.98000353100001,5.316788604009999,0.0,5.81786277784,5.907179729349999,5.687386274680001,0.0,20.007537261099998,0.0,5.098681808299999,0.0,0.0,12.1327341369,30.686289896799998,10.6172390437,9.717848232889999,17.4124287819,0.0,10.197363616599999,0.0,6.92373719969,5.316788604009999,40.4461536111,0.0,11.257379486500001,5.316788604009999,11.5052490525,0.0,0.0,21.0278543948,4.794537184069999,10.1143182688,6.92373719969,30.3318353423,0.0,11.257379486500001,0.0,100.92,4.92331104882,14.9088554528,0.0,11.594566004,11.5117907727,5.5634514916999995,19.0564713366,18.199101205399998,0.0,15.5141522206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.3333333333,0.0909090909091,18.0,2.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,7.0,3.0,0.0,0.0,0.0,2.0,1.9433,64.9818,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23710.0
5280953,0.12047614076199999,0.0,200.15599999999998,5.21289989607,0.496686974966,5.21289989607,-0.496686974966,212.09496300400002,80.0,0.865433673469,0.865433673469,0.12047614076199999,2.4525762667,670.054989302,11.1209558646,9.242213231910002,9.242213231910002,7.79202499788,5.20422046283,5.20422046283,3.8554368833699995,3.8554368833699995,2.91710373629,2.91710373629,2.07190493104,2.07190493104,-2.03,8750.79222045,9.21438864512,3.2343886836,1.17792093619,93.0669700432,9.72084147475,5.749511833280001,0.0,0.0,0.0,0.0,4.98397852095,0.0,0.0,0.0,0.0,25.1228384051,23.035659069,23.8371269714,4.7368629538,21.805849864200002,0.0,9.96795704189,0.0,6.92373719969,7.10979754128,36.1562398403,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,0.0,17.0777545832,0.0,6.92373719969,5.69392799485,30.4623118455,0.0,21.805849864200002,0.0,37.91,0.0,0.0,0.0,0.0,0.0,22.4768412634,10.7724484289,7.10979754128,31.3196819767,16.0343241104,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.153846153846,16.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0331200000000003,64.8887,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
