protein	compound	aveaffinty
CHEMBL1805	CHEMBL445651	17
CHEMBL1805	CHEMBL1628638	0.5
CHEMBL1805	CHEMBL101690	1.9
CHEMBL1805	CHEMBL187308	71.8
CHEMBL1805	CHEMBL609742	12.3
CHEMBL1805	CHEMBL497963	501.19
CHEMBL1805	CHEMBL187581	33.5
CHEMBL1805	CHEMBL365405	4.1
CHEMBL1805	CHEMBL361061	4.8
CHEMBL1805	CHEMBL186662	241
CHEMBL1805	CHEMBL186951	38
CHEMBL1805	CHEMBL187952	9.06666666666667
CHEMBL1805	CHEMBL184994	520
CHEMBL1805	CHEMBL606556	2.7
CHEMBL1805	CHEMBL1628565	6.31
CHEMBL1805	CHEMBL522708	1000
CHEMBL1805	CHEMBL2113386	17.8
CHEMBL1805	CHEMBL184597	3.9
CHEMBL1805	CHEMBL606547	16
CHEMBL1805	CHEMBL361303	2.2
CHEMBL1821	CHEMBL378772	20
CHEMBL1821	CHEMBL214342	41
CHEMBL1821	CHEMBL478227	2454.71
CHEMBL1821	CHEMBL275104	222
CHEMBL1821	CHEMBL214898	11
CHEMBL1821	CHEMBL438822	39
CHEMBL1821	CHEMBL2021477	18.62
CHEMBL1821	CHEMBL505086	51286.14
CHEMBL1821	CHEMBL2021479	15.85
CHEMBL1821	CHEMBL378872	53
CHEMBL1821	CHEMBL213709	92
CHEMBL1821	CHEMBL1113	989.5
CHEMBL1821	CHEMBL214642	480
CHEMBL1821	CHEMBL2042406	151.36
CHEMBL1821	CHEMBL82754	1520
CHEMBL1821	CHEMBL215180	42
CHEMBL1821	CHEMBL461089	29512.09
CHEMBL1821	CHEMBL12587	711.5
CHEMBL1821	CHEMBL215894	120
CHEMBL1821	CHEMBL478226	6606.93
CHEMBL1821	CHEMBL1346	8.27
CHEMBL1821	CHEMBL633	2068
CHEMBL1821	CHEMBL2336057	320
CHEMBL1821	CHEMBL257431	103
CHEMBL1821	CHEMBL257643	121
CHEMBL1821	CHEMBL211976	150
CHEMBL1821	CHEMBL629	3.0195
CHEMBL1821	CHEMBL7634	80.75
CHEMBL1821	CHEMBL239436	1681
CHEMBL1821	CHEMBL845	290
CHEMBL1821	CHEMBL1242950	1400
CHEMBL1821	CHEMBL76897	1.00666666666667
CHEMBL1821	CHEMBL2021478	12.3
CHEMBL1821	CHEMBL314493	1171
CHEMBL1821	CHEMBL1628227	23.92
CHEMBL1821	CHEMBL2313370	289
CHEMBL1821	CHEMBL2042407	11220.18
CHEMBL1821	CHEMBL265256	8.895
CHEMBL1821	CHEMBL460470	69183.1
CHEMBL1821	CHEMBL648	485.5
CHEMBL1821	CHEMBL2313073	226
CHEMBL1821	CHEMBL1201207	6793.5
CHEMBL1821	CHEMBL2313404	147
CHEMBL1821	CHEMBL21731	235.5
CHEMBL1821	CHEMBL1084993	3162.28
CHEMBL1821	CHEMBL212645	48
CHEMBL1821	CHEMBL277642	6.31
CHEMBL1821	CHEMBL1258452	2579
CHEMBL1821	CHEMBL571123	158.49
CHEMBL1821	CHEMBL493795	715.335
CHEMBL1821	CHEMBL936	154.5
CHEMBL1821	CHEMBL552338	4300
CHEMBL1821	CHEMBL1083108	1584.89
CHEMBL1821	CHEMBL523518	414.545
CHEMBL1821	CHEMBL461088	89125.09
CHEMBL1821	CHEMBL1382	3.1
CHEMBL1821	CHEMBL569729	64.57
CHEMBL1821	CHEMBL1242923	6900
CHEMBL1821	CHEMBL569953	3090.3
CHEMBL1821	CHEMBL2031737	415
CHEMBL1821	CHEMBL9967	47.9733333333333
CHEMBL1821	CHEMBL134641	5.7
CHEMBL1821	CHEMBL2042404	2.63
CHEMBL1821	CHEMBL214029	29
CHEMBL1821	CHEMBL7002	9243.5
CHEMBL1821	CHEMBL85190	660
CHEMBL1821	CHEMBL378885	290
CHEMBL1821	CHEMBL534	575
CHEMBL1821	CHEMBL557808	95.5
CHEMBL1821	CHEMBL104	6698
CHEMBL1821	CHEMBL215189	31
CHEMBL1821	CHEMBL1123	1.6805
CHEMBL1821	CHEMBL1172	193
CHEMBL1821	CHEMBL1083723	398.11
CHEMBL1821	CHEMBL576663	104.71
CHEMBL1821	CHEMBL210514	3680
CHEMBL1821	CHEMBL239655	682
CHEMBL1821	CHEMBL17045	204.5
CHEMBL1821	CHEMBL2313371	307
CHEMBL1821	CHEMBL1231	1.966
CHEMBL1821	CHEMBL2336059	29
CHEMBL1821	CHEMBL75880	2046.4
CHEMBL1821	CHEMBL480464	498
CHEMBL1821	CHEMBL716	899.45
CHEMBL1821	CHEMBL440138	1180
CHEMBL1821	CHEMBL728	776.5
CHEMBL1821	CHEMBL1201027	0.158
CHEMBL1821	CHEMBL305660	471.7
CHEMBL1821	CHEMBL239038	5986
CHEMBL1821	CHEMBL517712	1.047
CHEMBL1821	CHEMBL571121	3.98
CHEMBL1821	CHEMBL258622	0.0398
CHEMBL1821	CHEMBL58	366.95
CHEMBL1821	CHEMBL315428	249
CHEMBL1821	CHEMBL450729	56234.13
CHEMBL1821	CHEMBL524061	1007.375
CHEMBL1821	CHEMBL1201024	0.402
CHEMBL1821	CHEMBL2313372	418
CHEMBL1821	CHEMBL310558	372.5
CHEMBL1821	CHEMBL378859	24
CHEMBL1821	CHEMBL1258223	760
CHEMBL1821	CHEMBL212141	180
CHEMBL1821	CHEMBL7568	1130
CHEMBL1821	CHEMBL496915	175.185
CHEMBL1821	CHEMBL294273	4600
CHEMBL1821	CHEMBL522460	432
CHEMBL1821	CHEMBL396845	2265
CHEMBL1821	CHEMBL513277	24547.09
CHEMBL1821	CHEMBL571341	54.95
CHEMBL1821	CHEMBL2336056	15
CHEMBL1821	CHEMBL395110	78
CHEMBL1821	CHEMBL809	1498.9
CHEMBL1821	CHEMBL493980	239.895
CHEMBL1821	CHEMBL493979	198.735
CHEMBL1821	CHEMBL21536	72
CHEMBL1821	CHEMBL238825	5932
CHEMBL1821	CHEMBL1909073	35.29
CHEMBL1821	CHEMBL2042552	4.9
CHEMBL1821	CHEMBL576707	77.62
CHEMBL1821	CHEMBL1628654	0.08
CHEMBL1821	CHEMBL1628649	0.1
CHEMBL1821	CHEMBL1085507	5011.87
CHEMBL1821	CHEMBL1083618	7943.28
CHEMBL1821	CHEMBL445	54
CHEMBL1821	CHEMBL2021476	12.88
CHEMBL1821	CHEMBL461709	58884.37
CHEMBL1821	CHEMBL2313373	926
CHEMBL1821	CHEMBL84113	345
CHEMBL1821	CHEMBL2042553	2.34
CHEMBL1821	CHEMBL2042554	70.79
CHEMBL1821	CHEMBL553434	13803.84
CHEMBL1821	CHEMBL556390	728.37
CHEMBL1821	CHEMBL657	212
CHEMBL1821	CHEMBL313738	500
CHEMBL1821	CHEMBL479	45.5
CHEMBL1821	CHEMBL450463	47863.01
CHEMBL1821	CHEMBL1490	3.122
CHEMBL1821	CHEMBL1082365	3162.28
CHEMBL1821	CHEMBL1108	2193
CHEMBL1821	CHEMBL2313402	52
CHEMBL1821	CHEMBL2042405	1.48
CHEMBL1821	CHEMBL539373	156.82
CHEMBL1821	CHEMBL2112961	43
CHEMBL1821	CHEMBL1237108	0.382
CHEMBL1821	CHEMBL1201203	1.3615
CHEMBL1821	CHEMBL569212	549.54
CHEMBL1821	CHEMBL2042551	16982.44
CHEMBL1821	CHEMBL554532	6456.54
CHEMBL1821	CHEMBL583051	14.13
CHEMBL1821	CHEMBL1200604	14.24
CHEMBL1821	CHEMBL1180343	22021.5
CHEMBL1821	CHEMBL1180284	13692
CHEMBL1821	CHEMBL461087	87096.36
CHEMBL1821	CHEMBL2313378	600
CHEMBL1821	CHEMBL2313375	107
CHEMBL1821	CHEMBL279453	2
CHEMBL1821	CHEMBL715	88.5
CHEMBL1821	CHEMBL553155	21379.62
CHEMBL1821	CHEMBL40554	9120.11
CHEMBL1821	CHEMBL1978713	620
CHEMBL1821	CHEMBL554916	391.985
CHEMBL1821	CHEMBL2313374	1410
CHEMBL1821	CHEMBL1221	2255
CHEMBL1821	CHEMBL14	2977.85666666667
CHEMBL1821	CHEMBL83	2744.5
CHEMBL1821	CHEMBL1083925	158.49
CHEMBL1821	CHEMBL555475	4365.16
CHEMBL1821	CHEMBL12098	61
CHEMBL1821	CHEMBL30008	3222.5
CHEMBL1821	CHEMBL726	1976
CHEMBL1821	CHEMBL64894	572.5
CHEMBL1821	CHEMBL2313376	124
CHEMBL1821	CHEMBL296419	1060
CHEMBL1821	CHEMBL221753	146.5
CHEMBL1821	CHEMBL555146	351
CHEMBL1821	CHEMBL461648	2
CHEMBL1821	CHEMBL539121	160.525
CHEMBL1821	CHEMBL481	886.5
CHEMBL1821	CHEMBL1626	11.385
CHEMBL1821	CHEMBL1180285	138
CHEMBL1821	CHEMBL1201069	36.9
CHEMBL1821	CHEMBL2107687	14.835
CHEMBL1821	CHEMBL643	4.32
CHEMBL1821	CHEMBL1628526	316.23
CHEMBL1821	CHEMBL583027	38.02
CHEMBL1821	CHEMBL326450	1
CHEMBL1821	CHEMBL2313403	2010
CHEMBL1821	CHEMBL588119	2598.55
CHEMBL1821	CHEMBL527880	28183.83
CHEMBL1821	CHEMBL539120	37.365
CHEMBL1821	CHEMBL551563	5128.61
CHEMBL1821	CHEMBL64000	18.5
CHEMBL1821	CHEMBL978	1600
CHEMBL1821	CHEMBL569089	2344.23
CHEMBL1821	CHEMBL2312389	11500
CHEMBL1821	CHEMBL541671	357.38
CHEMBL1821	CHEMBL2312352	5740
CHEMBL1821	CHEMBL1910856	0.115
CHEMBL1821	CHEMBL6437	1177
CHEMBL1821	CHEMBL1834350	10000
CHEMBL1821	CHEMBL92387	6309.57
CHEMBL1821	CHEMBL2042400	25118.86
CHEMBL1821	CHEMBL2057417	56
CHEMBL1821	CHEMBL461502	79432.82
CHEMBL1821	CHEMBL74300	9120.11
CHEMBL1821	CHEMBL594801	44668.36
CHEMBL1821	CHEMBL91	1821.5
CHEMBL1821	CHEMBL564	170.5
CHEMBL1821	CHEMBL568775	371.54
CHEMBL1821	CHEMBL7303	1213
CHEMBL1821	CHEMBL569712	19.5
CHEMBL1821	CHEMBL177040	74
CHEMBL1821	CHEMBL1306	7813.5
CHEMBL1821	CHEMBL1201353	1126
CHEMBL1821	CHEMBL2313398	1750
CHEMBL1821	CHEMBL593861	53703.18
CHEMBL1821	CHEMBL2042402	12302.69
CHEMBL1821	CHEMBL415	52
CHEMBL1821	CHEMBL42	25.65
CHEMBL1821	CHEMBL595265	30902.95
CHEMBL1821	CHEMBL595022	87096.36
CHEMBL1821	CHEMBL2112956	30
CHEMBL1821	CHEMBL2057391	2344.23
CHEMBL1821	CHEMBL593620	30199.52
CHEMBL1821	CHEMBL334255	60.5
CHEMBL1821	CHEMBL808	1209
CHEMBL1821	CHEMBL2313395	104
CHEMBL1821	CHEMBL369062	60
CHEMBL1821	CHEMBL2313392	108
CHEMBL1821	CHEMBL593685	25703.96
CHEMBL1821	CHEMBL71	85
CHEMBL1821	CHEMBL55	900
CHEMBL1821	CHEMBL516	9.095
CHEMBL1821	CHEMBL1628667	1258.93
CHEMBL1821	CHEMBL954	940.5
CHEMBL1821	CHEMBL64788	7900
CHEMBL1821	CHEMBL900	71
CHEMBL1821	CHEMBL43064	2085
CHEMBL1821	CHEMBL2313384	128
CHEMBL1821	CHEMBL594803	57543.99
CHEMBL1821	CHEMBL2312376	10500
CHEMBL1821	CHEMBL1589763	500
CHEMBL1821	CHEMBL2112959	31
CHEMBL1821	CHEMBL2312361	1890
CHEMBL1821	CHEMBL2313394	160
CHEMBL1821	CHEMBL499519	590
CHEMBL1821	CHEMBL594376	93325.43
CHEMBL1821	CHEMBL490	139
CHEMBL1821	CHEMBL2313383	1370
CHEMBL1821	CHEMBL2313377	77
CHEMBL1821	CHEMBL390842	11481.54
CHEMBL1821	CHEMBL2112957	2.3
CHEMBL1821	CHEMBL2112955	14
CHEMBL1821	CHEMBL2057406	7079.46
CHEMBL1821	CHEMBL404557	87096.36
CHEMBL1821	CHEMBL2057416	2818.38
CHEMBL1821	CHEMBL2313382	356
CHEMBL1821	CHEMBL376897	0.141
CHEMBL1821	CHEMBL1424504	1819.7
CHEMBL1821	CHEMBL2112958	11
CHEMBL1821	CHEMBL2042403	29512.09
CHEMBL1821	CHEMBL568870	33.11
CHEMBL1821	CHEMBL2313397	249
CHEMBL1821	CHEMBL1319362	57.5
CHEMBL1821	CHEMBL2205362	2871
CHEMBL1821	CHEMBL569307	4.27
CHEMBL1821	CHEMBL2313385	30000
CHEMBL1821	CHEMBL2313379	61
CHEMBL1821	CHEMBL2057392	1288.25
CHEMBL1821	CHEMBL762	1858
CHEMBL1821	CHEMBL2313380	208
CHEMBL1821	CHEMBL2057376	1348.96
CHEMBL1821	CHEMBL2057683	7762.47
CHEMBL1821	CHEMBL2313393	160
CHEMBL1821	CHEMBL2313389	810
CHEMBL1821	CHEMBL2313396	180
CHEMBL1821	CHEMBL2313381	669
CHEMBL1821	CHEMBL2313388	271
CHEMBL1821	CHEMBL2313386	844
CHEMBL1821	CHEMBL2057394	1122.02
CHEMBL1821	CHEMBL569760	15.49
CHEMBL1821	CHEMBL2313390	326
CHEMBL1821	CHEMBL2313391	80
CHEMBL1821	CHEMBL2313387	294
CHEMBL1833	CHEMBL31115	7.8
CHEMBL1833	CHEMBL2337494	58.5
CHEMBL1833	CHEMBL223440	248
CHEMBL1833	CHEMBL220789	3190
CHEMBL1833	CHEMBL1909050	1521.5
CHEMBL1833	CHEMBL135076	19
CHEMBL1833	CHEMBL39	8.83333333333333
CHEMBL1833	CHEMBL86	515.5
CHEMBL1833	CHEMBL2337495	5812
CHEMBL1833	CHEMBL133868	13
CHEMBL1833	CHEMBL357995	1246
CHEMBL1833	CHEMBL2337491	6244
CHEMBL1833	CHEMBL133455	5.3
CHEMBL1833	CHEMBL6437	5.97
CHEMBL1833	CHEMBL2337490	38.6333333333333
CHEMBL1833	CHEMBL2323578	7.1
CHEMBL1833	CHEMBL2323580	18.985
CHEMBL1833	CHEMBL566075	3100
CHEMBL1833	CHEMBL360328	95.15
CHEMBL1833	CHEMBL203025	221
CHEMBL1833	CHEMBL478	28
CHEMBL1833	CHEMBL2337105	620.5
CHEMBL1833	CHEMBL236610	74
CHEMBL1833	CHEMBL376676	116
CHEMBL1833	CHEMBL2322611	1000
CHEMBL1833	CHEMBL1065	0.4605
CHEMBL1833	CHEMBL131736	11
CHEMBL1833	CHEMBL375642	1580
CHEMBL1833	CHEMBL21731	275
CHEMBL1833	CHEMBL590333	13
CHEMBL1833	CHEMBL590482	72
CHEMBL1833	CHEMBL590531	46
CHEMBL1833	CHEMBL1224031	223
CHEMBL1833	CHEMBL296419	9.745
CHEMBL1833	CHEMBL1078745	94
CHEMBL1833	CHEMBL222466	471
CHEMBL1833	CHEMBL558	931
CHEMBL1833	CHEMBL1201087	1.4
CHEMBL1833	CHEMBL547	694
CHEMBL1833	CHEMBL46	586.5
CHEMBL1833	CHEMBL14022	2.2
CHEMBL1833	CHEMBL2323581	6.77
CHEMBL1833	CHEMBL590331	280
CHEMBL1833	CHEMBL2337106	94
CHEMBL1833	CHEMBL27173	14
CHEMBL1833	CHEMBL76781	4.80333333333333
CHEMBL1833	CHEMBL590078	107.3
CHEMBL1833	CHEMBL2337493	35.5
CHEMBL1833	CHEMBL590332	2395
CHEMBL1833	CHEMBL590483	23
CHEMBL1833	CHEMBL2337492	28
CHEMBL1833	CHEMBL236587	41
CHEMBL1833	CHEMBL629	57.5
CHEMBL1833	CHEMBL595645	83
CHEMBL1833	CHEMBL2337103	15
CHEMBL1833	CHEMBL534	37.5
CHEMBL1833	CHEMBL1628720	1
CHEMBL1833	CHEMBL311469	2593.5
CHEMBL1833	CHEMBL1909051	1267.5
CHEMBL1833	CHEMBL2337501	4
CHEMBL1833	CHEMBL2337498	776
CHEMBL1833	CHEMBL2323579	11.5
CHEMBL1833	CHEMBL643	55.5
CHEMBL1833	CHEMBL568400	130
CHEMBL1833	CHEMBL415	195.5
CHEMBL1833	CHEMBL516	7.725
CHEMBL1833	CHEMBL199385	15
CHEMBL1833	CHEMBL2337499	1204.5
CHEMBL1833	CHEMBL2337504	188
CHEMBL1833	CHEMBL605402	18
CHEMBL1833	CHEMBL18329	10.61
CHEMBL1833	CHEMBL590580	10
CHEMBL1833	CHEMBL998	200.5
CHEMBL1833	CHEMBL2337488	204
CHEMBL1833	CHEMBL2337503	199
CHEMBL1833	CHEMBL297784	4.3
CHEMBL1833	CHEMBL71	86
CHEMBL1833	CHEMBL81	216.666666666667
CHEMBL1833	CHEMBL191054	29.5
CHEMBL1833	CHEMBL80482	355
CHEMBL1833	CHEMBL1629810	51.5
CHEMBL1833	CHEMBL2334981	3160
CHEMBL1833	CHEMBL597	3114.5
CHEMBL1833	CHEMBL2	3369.5
CHEMBL1833	CHEMBL220157	890
CHEMBL1833	CHEMBL578170	120
CHEMBL1833	CHEMBL1224034	42
CHEMBL1833	CHEMBL728	83.5
CHEMBL1833	CHEMBL598444	423
CHEMBL1833	CHEMBL598851	442
CHEMBL1833	CHEMBL445	111
CHEMBL1833	CHEMBL590816	67
CHEMBL1833	CHEMBL502620	905
CHEMBL1833	CHEMBL2113264	7
CHEMBL1833	CHEMBL223272	29
CHEMBL1833	CHEMBL1909048	1234
CHEMBL1833	CHEMBL198712	1995.26
CHEMBL1833	CHEMBL1224032	569
CHEMBL1833	CHEMBL374562	336
CHEMBL1833	CHEMBL76474	21
CHEMBL1833	CHEMBL91	4537
CHEMBL1833	CHEMBL590721	734
CHEMBL1833	CHEMBL493130	89
CHEMBL1833	CHEMBL2203551	5097
CHEMBL1833	CHEMBL2337500	231
CHEMBL1833	CHEMBL577904	320
CHEMBL1833	CHEMBL374436	75
CHEMBL1833	CHEMBL1626	29.5
CHEMBL1833	CHEMBL1224035	489
CHEMBL1833	CHEMBL590077	137
CHEMBL1833	CHEMBL2337502	1717
CHEMBL1833	CHEMBL373402	3010
CHEMBL1833	CHEMBL604102	274
CHEMBL1833	CHEMBL526	4499
CHEMBL1833	CHEMBL222514	74
CHEMBL1833	CHEMBL223090	3930
CHEMBL1833	CHEMBL1201203	163.5
CHEMBL1833	CHEMBL364061	423
CHEMBL1833	CHEMBL194588	1242
CHEMBL1833	CHEMBL841	3359
CHEMBL1833	CHEMBL598443	97.9
CHEMBL1833	CHEMBL223271	2350
CHEMBL1833	CHEMBL1231	648
CHEMBL1833	CHEMBL219837	24
CHEMBL1833	CHEMBL76307	54
CHEMBL1833	CHEMBL80862	189
CHEMBL1833	CHEMBL81330	69.6
CHEMBL1833	CHEMBL1110	82
CHEMBL1833	CHEMBL1255834	45.07
CHEMBL1833	CHEMBL188033	13
CHEMBL1833	CHEMBL590089	61
CHEMBL1833	CHEMBL77880	49
CHEMBL1833	CHEMBL598850	78
CHEMBL1833	CHEMBL467736	16
CHEMBL1833	CHEMBL445747	85
CHEMBL1833	CHEMBL2181187	29.3
CHEMBL1833	CHEMBL492916	22
CHEMBL1833	CHEMBL371300	8.1
CHEMBL1833	CHEMBL2337102	14
CHEMBL1833	CHEMBL594469	153
CHEMBL1833	CHEMBL1628227	72.5
CHEMBL1833	CHEMBL1670	3953.5
CHEMBL1833	CHEMBL2337104	177
CHEMBL1833	CHEMBL276393	1500
CHEMBL1833	CHEMBL223584	3430
CHEMBL1833	CHEMBL511	2281
CHEMBL1833	CHEMBL631	75
CHEMBL1833	CHEMBL1224033	384
CHEMBL1833	CHEMBL2338343	5300
CHEMBL1833	CHEMBL334255	4655.5
CHEMBL1833	CHEMBL2337497	905
CHEMBL1833	CHEMBL275854	13
CHEMBL1833	CHEMBL76301	38
CHEMBL1833	CHEMBL198109	125.89
CHEMBL1833	CHEMBL198007	316.23
CHEMBL1833	CHEMBL451543	89
CHEMBL1833	CHEMBL371211	158.49
CHEMBL1833	CHEMBL198617	98
CHEMBL1833	CHEMBL198192	1258.93
CHEMBL1833	CHEMBL202656	465
CHEMBL1833	CHEMBL473186	1
CHEMBL1833	CHEMBL1201216	864
CHEMBL1833	CHEMBL80366	31
CHEMBL1833	CHEMBL511312	9.77
CHEMBL1833	CHEMBL2181189	40.4
CHEMBL1833	CHEMBL2181188	98
CHEMBL1833	CHEMBL290106	5554.5
CHEMBL1833	CHEMBL2205361	936
CHEMBL1833	CHEMBL1631545	79.43
CHEMBL1833	CHEMBL567993	31
CHEMBL1833	CHEMBL412876	26
CHEMBL1833	CHEMBL198171	79.43
CHEMBL1833	CHEMBL201897	136
CHEMBL1833	CHEMBL2337489	2373
CHEMBL1833	CHEMBL201062	80
CHEMBL1833	CHEMBL598229	21
CHEMBL1833	CHEMBL599663	493
CHEMBL1833	CHEMBL220207	84
CHEMBL1833	CHEMBL216228	1900
CHEMBL1833	CHEMBL203013	174
CHEMBL1833	CHEMBL564	284
CHEMBL1833	CHEMBL1113	8.285
CHEMBL1833	CHEMBL370221	1242
CHEMBL1833	CHEMBL605971	455
CHEMBL1833	CHEMBL591940	260
CHEMBL1833	CHEMBL27	280
CHEMBL1833	CHEMBL1262	3768.9
CHEMBL1833	CHEMBL80246	88
CHEMBL1833	CHEMBL194202	745
CHEMBL1833	CHEMBL198330	501.19
CHEMBL1833	CHEMBL14460	100
CHEMBL1833	CHEMBL190584	59
CHEMBL1833	CHEMBL190124	21
CHEMBL1833	CHEMBL54719	31.62
CHEMBL1833	CHEMBL451232	16
CHEMBL1833	CHEMBL1201356	1.08933333333333
CHEMBL1833	CHEMBL2181170	136
CHEMBL1833	CHEMBL490634	1052
CHEMBL1833	CHEMBL489408	1972
CHEMBL1833	CHEMBL594717	7.7
CHEMBL1833	CHEMBL2337496	500.5
CHEMBL1833	CHEMBL467094	543
CHEMBL1833	CHEMBL577912	300
CHEMBL1833	CHEMBL371899	116
CHEMBL1833	CHEMBL862	1716.5
CHEMBL1833	CHEMBL603483	1362
CHEMBL1833	CHEMBL201454	10.05
CHEMBL1833	CHEMBL202795	1820
CHEMBL1833	CHEMBL223628	1600
CHEMBL1833	CHEMBL206845	77
CHEMBL1833	CHEMBL383051	379
CHEMBL1833	CHEMBL9514	16512.5
CHEMBL1833	CHEMBL567791	170
CHEMBL1833	CHEMBL445331	5566
CHEMBL1833	CHEMBL376456	192
CHEMBL1833	CHEMBL220274	249
CHEMBL1833	CHEMBL375302	235
CHEMBL1833	CHEMBL633	755
CHEMBL1833	CHEMBL1276050	1617
CHEMBL1833	CHEMBL197170	1584.89
CHEMBL1833	CHEMBL14563	100
CHEMBL1833	CHEMBL198097	1258.93
CHEMBL1833	CHEMBL657	914.5
CHEMBL1833	CHEMBL197630	125.89
CHEMBL1833	CHEMBL305660	255.75
CHEMBL1833	CHEMBL197646	8.39
CHEMBL1833	CHEMBL65	793.5
CHEMBL1833	CHEMBL282575	9462
CHEMBL1833	CHEMBL471663	52.48
CHEMBL1833	CHEMBL2170062	328
CHEMBL1833	CHEMBL470432	281.84
CHEMBL1833	CHEMBL374660	1300
CHEMBL1833	CHEMBL437314	35
CHEMBL1833	CHEMBL182150	79.83
CHEMBL1833	CHEMBL493	6.805
CHEMBL1833	CHEMBL515472	320
CHEMBL1833	CHEMBL188605	53
CHEMBL1833	CHEMBL2096809	185
CHEMBL1833	CHEMBL203393	81
CHEMBL1833	CHEMBL383694	166
CHEMBL1833	CHEMBL209324	53
CHEMBL1833	CHEMBL426317	33.7
CHEMBL1833	CHEMBL387344	3740
CHEMBL1833	CHEMBL715	46.5
CHEMBL1833	CHEMBL206394	295
CHEMBL1833	CHEMBL1729	90
CHEMBL1833	CHEMBL599466	191
CHEMBL1833	CHEMBL597009	583
CHEMBL1833	CHEMBL219734	550
CHEMBL1833	CHEMBL716	174.7
CHEMBL1833	CHEMBL80731	62
CHEMBL1833	CHEMBL309760	46
CHEMBL1833	CHEMBL46516	151.4
CHEMBL1833	CHEMBL197807	316.23
CHEMBL1833	CHEMBL49	613.5
CHEMBL1833	CHEMBL1277565	87
CHEMBL1833	CHEMBL60889	242.1
CHEMBL1833	CHEMBL516088	960
CHEMBL1833	CHEMBL490633	2751
CHEMBL1833	CHEMBL2181166	340
CHEMBL1833	CHEMBL202616	81.5
CHEMBL1833	CHEMBL2205360	204
CHEMBL1833	CHEMBL1632210	125.89
CHEMBL1833	CHEMBL202538	212
CHEMBL1833	CHEMBL134519	18
CHEMBL1833	CHEMBL361929	250
CHEMBL1833	CHEMBL219916	2127.5
CHEMBL1833	CHEMBL1224036	1606
CHEMBL1833	CHEMBL597002	100
CHEMBL1833	CHEMBL1224102	6596
CHEMBL1833	CHEMBL1909072	40
CHEMBL1833	CHEMBL376455	4540
CHEMBL1833	CHEMBL382618	835
CHEMBL1833	CHEMBL206386	1139
CHEMBL1833	CHEMBL206618	1306
CHEMBL1833	CHEMBL599263	185
CHEMBL1833	CHEMBL12089	2812
CHEMBL1833	CHEMBL223469	3690
CHEMBL1833	CHEMBL42	9.09
CHEMBL1833	CHEMBL223896	309
CHEMBL1833	CHEMBL398440	1518.5
CHEMBL1833	CHEMBL405829	300
CHEMBL1833	CHEMBL199177	794.33
CHEMBL1833	CHEMBL1275630	281
CHEMBL1833	CHEMBL383800	1258.93
CHEMBL1833	CHEMBL17157	39
CHEMBL1833	CHEMBL723	19
CHEMBL1833	CHEMBL373905	380
CHEMBL1833	CHEMBL221113	153
CHEMBL1833	CHEMBL1909065	27
CHEMBL1833	CHEMBL490632	559
CHEMBL1833	CHEMBL202458	79
CHEMBL1833	CHEMBL202324	273
CHEMBL1833	CHEMBL565551	300
CHEMBL1833	CHEMBL374659	470
CHEMBL1833	CHEMBL2096711	2600
CHEMBL1833	CHEMBL425545	140
CHEMBL1833	CHEMBL900	2774.5
CHEMBL1833	CHEMBL187739	10
CHEMBL1833	CHEMBL205671	440
CHEMBL1833	CHEMBL206333	68
CHEMBL1833	CHEMBL531	62.5
CHEMBL1833	CHEMBL187787	960
CHEMBL1833	CHEMBL203230	48
CHEMBL1833	CHEMBL1258223	66
CHEMBL1833	CHEMBL726	32
CHEMBL1833	CHEMBL1381098	20583.5
CHEMBL1833	CHEMBL43064	598
CHEMBL1833	CHEMBL1172	35.5
CHEMBL1833	CHEMBL262862	100
CHEMBL1833	CHEMBL411	2569
CHEMBL1833	CHEMBL1277837	96
CHEMBL1833	CHEMBL402143	299
CHEMBL1833	CHEMBL429	2485
CHEMBL1833	CHEMBL54	1677.5
CHEMBL1833	CHEMBL407636	1000
CHEMBL1833	CHEMBL1411979	690
CHEMBL1833	CHEMBL476838	1844
CHEMBL1833	CHEMBL2181169	162
CHEMBL1833	CHEMBL220211	1090
CHEMBL1833	CHEMBL141343	424.5
CHEMBL1833	CHEMBL1224106	3999
CHEMBL1833	CHEMBL199775	7.5
CHEMBL1833	CHEMBL808	5590.5
CHEMBL1833	CHEMBL364534	67
CHEMBL1833	CHEMBL30008	890
CHEMBL1833	CHEMBL201930	6.55
CHEMBL1833	CHEMBL203396	217
CHEMBL1833	CHEMBL361079	11
CHEMBL1833	CHEMBL385577	86
CHEMBL1833	CHEMBL198124	5.8
CHEMBL1833	CHEMBL1651096	1541
CHEMBL1833	CHEMBL259480	25
CHEMBL1833	CHEMBL497963	1995.26
CHEMBL1833	CHEMBL429689	410
CHEMBL1833	CHEMBL83668	1642
CHEMBL1833	CHEMBL406585	65
CHEMBL1833	CHEMBL382750	6300
CHEMBL1833	CHEMBL371753	170
CHEMBL1833	CHEMBL380763	306
CHEMBL1833	CHEMBL395110	420.5
CHEMBL1833	CHEMBL373695	190
CHEMBL1833	CHEMBL1922537	10145
CHEMBL1833	CHEMBL1922539	6740
CHEMBL1833	CHEMBL2181171	627
CHEMBL1833	CHEMBL201117	376
CHEMBL1833	CHEMBL1922538	6915
CHEMBL1833	CHEMBL6616	10.975
CHEMBL1833	CHEMBL388590	1476
CHEMBL1833	CHEMBL442	2.83
