protein	compound	aveaffinty
CHEMBL1075092	CHEMBL478523	6000
CHEMBL1075092	CHEMBL514432	1800
CHEMBL1075092	CHEMBL193	29200
CHEMBL1075092	CHEMBL47244	430
CHEMBL1847	CHEMBL236471	1.94
CHEMBL1847	CHEMBL448	88000
CHEMBL1847	CHEMBL392036	4.27
CHEMBL1847	CHEMBL235623	0.659
CHEMBL1847	CHEMBL329306	28
CHEMBL1847	CHEMBL236470	70.1
CHEMBL1847	CHEMBL392035	7.08
CHEMBL1847	CHEMBL235407	3450
CHEMBL1847	CHEMBL395136	2.53
CHEMBL1847	CHEMBL101326	28
CHEMBL1847	CHEMBL235405	47.2
CHEMBL1847	CHEMBL428023	539
CHEMBL1847	CHEMBL396305	13.6
CHEMBL1847	CHEMBL235406	128
CHEMBL1847	CHEMBL395137	66.7
CHEMBL1847	CHEMBL236671	8.07
CHEMBL1847	CHEMBL2163548	3900
CHEMBL1899	CHEMBL2179862	18600
CHEMBL1899	CHEMBL2179529	700
CHEMBL1899	CHEMBL415568	6104.785
CHEMBL1899	CHEMBL2151443	150
CHEMBL1899	CHEMBL2181170	641
CHEMBL1899	CHEMBL1277996	45.6
CHEMBL1899	CHEMBL2181166	410
CHEMBL1899	CHEMBL2181171	680
CHEMBL1899	CHEMBL2151437	12
CHEMBL1899	CHEMBL1272230	18
CHEMBL1899	CHEMBL1272231	18.8
CHEMBL1899	CHEMBL2205362	7612
CHEMBL1899	CHEMBL1258452	3511
CHEMBL1899	CHEMBL1272284	94.9
CHEMBL1899	CHEMBL1277099	41.4
CHEMBL1899	CHEMBL1272175	16.3
CHEMBL1899	CHEMBL365323	49.8
CHEMBL1899	CHEMBL1958133	1.9
CHEMBL1899	CHEMBL1958328	11
CHEMBL1899	CHEMBL2322133	83
CHEMBL1899	CHEMBL1958330	5.3
CHEMBL1899	CHEMBL1958329	7.8
CHEMBL1899	CHEMBL1272283	40.4
CHEMBL1899	CHEMBL1958132	19
CHEMBL1899	CHEMBL1945843	1.4
CHEMBL1899	CHEMBL1272174	15.1
CHEMBL1899	CHEMBL1110	0.5
CHEMBL1899	CHEMBL46	3.73666666666667
CHEMBL1899	CHEMBL1958331	1.8
CHEMBL1899	CHEMBL2151440	60
CHEMBL1899	CHEMBL2181169	1314
CHEMBL1899	CHEMBL1958323	1.6
CHEMBL1899	CHEMBL1271677	5
CHEMBL1899	CHEMBL1829335	2
CHEMBL1899	CHEMBL1958324	7.9
CHEMBL1899	CHEMBL2332488	19000
CHEMBL1899	CHEMBL1958334	3
CHEMBL1899	CHEMBL1958333	1.7
CHEMBL1899	CHEMBL1945834	8.7
CHEMBL1899	CHEMBL1271678	3.5
CHEMBL1899	CHEMBL1271905	37.3
CHEMBL1899	CHEMBL597984	59.3
CHEMBL1899	CHEMBL1958327	8.9
CHEMBL1899	CHEMBL1258223	1072
CHEMBL1899	CHEMBL1945833	6300
CHEMBL1899	CHEMBL1277006	24.6
CHEMBL1899	CHEMBL388046	6004.785
CHEMBL1899	CHEMBL2181188	2470
CHEMBL1899	CHEMBL1276921	46.5
CHEMBL1899	CHEMBL1958332	2.5
CHEMBL1899	CHEMBL1271960	2.4
CHEMBL1899	CHEMBL1958134	13
CHEMBL1899	CHEMBL1271904	16.5
CHEMBL1899	CHEMBL1271849	72.2
CHEMBL1899	CHEMBL1958322	2.7
CHEMBL1899	CHEMBL1946302	208
CHEMBL1899	CHEMBL598184	1.89
CHEMBL1899	CHEMBL1271465	73.8
CHEMBL1899	CHEMBL364005	34
CHEMBL1899	CHEMBL2181189	710
CHEMBL1899	CHEMBL1277559	26.7
CHEMBL1899	CHEMBL388212	3131.14
CHEMBL1899	CHEMBL415570	1e+05
CHEMBL1899	CHEMBL1958325	4.8
CHEMBL1899	CHEMBL1271731	0.6
CHEMBL1899	CHEMBL1643891	23.4
CHEMBL1899	CHEMBL1271848	35.3
CHEMBL1899	CHEMBL1271629	3.9
CHEMBL1899	CHEMBL388048	1947.63
CHEMBL1899	CHEMBL1813065	2.8
CHEMBL1899	CHEMBL1946154	1300
CHEMBL1899	CHEMBL388049	1e+05
CHEMBL1899	CHEMBL18772	3.84
CHEMBL1899	CHEMBL376324	275
CHEMBL1899	CHEMBL1958326	2
CHEMBL1899	CHEMBL1278176	97.9
CHEMBL1899	CHEMBL1945837	1.9
CHEMBL1899	CHEMBL1272016	47.3
CHEMBL1899	CHEMBL1271730	2
CHEMBL1899	CHEMBL1271790	6.8
CHEMBL1899	CHEMBL1271466	58.5
CHEMBL1899	CHEMBL1277187	44.2
CHEMBL1899	CHEMBL1958135	8.1
CHEMBL1899	CHEMBL415569	39905.36
CHEMBL1899	CHEMBL1278088	6.81
CHEMBL1899	CHEMBL470432	6.92
CHEMBL1899	CHEMBL1277745	99.4
CHEMBL1899	CHEMBL1643894	0.7
CHEMBL1899	CHEMBL1271791	1
CHEMBL1899	CHEMBL289469	1.515
CHEMBL1899	CHEMBL1271519	40
CHEMBL1899	CHEMBL1271520	165
CHEMBL1899	CHEMBL1277651	45.7
CHEMBL1899	CHEMBL28992	1
CHEMBL1899	CHEMBL1945838	157
CHEMBL1899	CHEMBL56564	1.58
CHEMBL1899	CHEMBL2107804	7.475
CHEMBL1899	CHEMBL444985	404
CHEMBL1899	CHEMBL1272017	14.9
CHEMBL1899	CHEMBL1276832	48.4
CHEMBL1899	CHEMBL1271959	59.4
CHEMBL1899	CHEMBL395727	10500
CHEMBL1899	CHEMBL1277374	86.6
CHEMBL1899	CHEMBL1271628	4.6
CHEMBL1899	CHEMBL1271571	92.6
CHEMBL1899	CHEMBL229998	24059.43
CHEMBL1899	CHEMBL13790	1584.89
CHEMBL1899	CHEMBL13791	79432.82
CHEMBL1899	CHEMBL1945832	142
CHEMBL1899	CHEMBL1277463	100
CHEMBL1899	CHEMBL1276920	87.6
CHEMBL1899	CHEMBL1272072	32.7
CHEMBL1899	CHEMBL1643893	0.9
CHEMBL1899	CHEMBL390135	1e+05
CHEMBL1899	CHEMBL1271570	12.9
CHEMBL1899	CHEMBL1278175	48.3
CHEMBL1899	CHEMBL230952	15424.465
CHEMBL1899	CHEMBL1272176	18.2
CHEMBL1899	CHEMBL570710	1600
CHEMBL1899	CHEMBL1272121	36.4
CHEMBL1899	CHEMBL266591	2511.89
CHEMBL1899	CHEMBL569585	790
CHEMBL1899	CHEMBL404372	1062.3
CHEMBL1899	CHEMBL148204	1000
CHEMBL1899	CHEMBL596951	0.17
CHEMBL1899	CHEMBL231056	2605.945
CHEMBL1899	CHEMBL1272123	66.5
CHEMBL1899	CHEMBL572249	1400
CHEMBL1899	CHEMBL1272122	12.4
CHEMBL1899	CHEMBL1276922	22.1
CHEMBL1899	CHEMBL1272177	36.4
CHEMBL1899	CHEMBL1548	172
CHEMBL1899	CHEMBL1272073	8.3
CHEMBL1899	CHEMBL1628633	1.2
CHEMBL1899	CHEMBL1643895	0.06
CHEMBL1899	CHEMBL260565	251.19
CHEMBL1899	CHEMBL396705	1e+05
CHEMBL1899	CHEMBL598805	3029
CHEMBL1899	CHEMBL1276833	50.5
CHEMBL1899	CHEMBL1277280	69.9
CHEMBL1899	CHEMBL389120	26559.43
CHEMBL1899	CHEMBL1272178	13.8
CHEMBL1899	CHEMBL584743	4900
CHEMBL1899	CHEMBL572248	2500
CHEMBL1899	CHEMBL1945714	7.3
CHEMBL1899	CHEMBL1628595	2
CHEMBL1899	CHEMBL1643890	7.1
CHEMBL1899	CHEMBL27453	794.33
CHEMBL1899	CHEMBL1643882	4.9
CHEMBL1899	CHEMBL583681	2800
CHEMBL1899	CHEMBL596952	26.3
CHEMBL1899	CHEMBL1277462	64.8
CHEMBL1899	CHEMBL401541	1051
CHEMBL1899	CHEMBL585567	18
CHEMBL1899	CHEMBL570487	1700
CHEMBL1899	CHEMBL1277652	50.6
CHEMBL1899	CHEMBL1945713	1.6
CHEMBL1899	CHEMBL414183	12.59
CHEMBL1899	CHEMBL1945712	199
CHEMBL1899	CHEMBL1272232	4.7
CHEMBL1899	CHEMBL1643884	0.7
CHEMBL1899	CHEMBL1643881	4.4
CHEMBL1899	CHEMBL572038	3500
CHEMBL1899	CHEMBL585925	390
CHEMBL1899	CHEMBL571799	159
CHEMBL1899	CHEMBL569357	3100
CHEMBL1899	CHEMBL1643885	2
CHEMBL1899	CHEMBL1277372	61
CHEMBL1899	CHEMBL1643888	3.6
CHEMBL1899	CHEMBL1643886	2
CHEMBL1899	CHEMBL599012	71.1
CHEMBL1899	CHEMBL1643892	7.9
CHEMBL1899	CHEMBL1163015	2800
CHEMBL1899	CHEMBL453996	311
CHEMBL1899	CHEMBL1643887	1.6
CHEMBL1899	CHEMBL1643889	2.3
CHEMBL1899	CHEMBL1945830	1.1
CHEMBL1899	CHEMBL603673	279
CHEMBL1899	CHEMBL1628632	2.6
CHEMBL1899	CHEMBL605772	0.23
CHEMBL1899	CHEMBL598803	375
CHEMBL1899	CHEMBL1277281	63.8
CHEMBL1899	CHEMBL1277914	83.1
CHEMBL1899	CHEMBL1824047	794.33
CHEMBL1899	CHEMBL1834350	10000
CHEMBL1899	CHEMBL599011	0.67
CHEMBL1899	CHEMBL1945835	1.2
CHEMBL1899	CHEMBL1641625	2.4
CHEMBL1899	CHEMBL596758	237
CHEMBL1899	CHEMBL1824228	1258.93
CHEMBL1899	CHEMBL605562	5306
CHEMBL1899	CHEMBL1278087	15.6
CHEMBL1899	CHEMBL1643883	1.7
CHEMBL1899	CHEMBL492884	1258.93
CHEMBL1899	CHEMBL1277007	59.1
CHEMBL1899	CHEMBL1277282	52.6
CHEMBL1899	CHEMBL244561	19476.31
CHEMBL1899	CHEMBL1277373	55.2
CHEMBL1899	CHEMBL1824048	1.58
CHEMBL1899	CHEMBL1748	1600
CHEMBL1899	CHEMBL604083	749
CHEMBL1899	CHEMBL1277558	77.6
CHEMBL1899	CHEMBL1276835	84.8
CHEMBL1899	CHEMBL1628655	0.15
CHEMBL1899	CHEMBL1276834	62.1
CHEMBL1899	CHEMBL598804	7.3
CHEMBL1904	CHEMBL218478	3180
CHEMBL1904	CHEMBL438994	3100
CHEMBL1904	CHEMBL425462	227
CHEMBL1904	CHEMBL425642	540
CHEMBL1904	CHEMBL218075	266
CHEMBL1904	CHEMBL218275	18
CHEMBL1904	CHEMBL218211	3.7
CHEMBL1904	CHEMBL219060	10.6
CHEMBL1904	CHEMBL218463	2100
CHEMBL1904	CHEMBL217992	1250
CHEMBL1904	CHEMBL217904	460
CHEMBL1904	CHEMBL218068	75
CHEMBL1904	CHEMBL374865	150
CHEMBL1904	CHEMBL218546	220
CHEMBL1904	CHEMBL218067	180
CHEMBL1904	CHEMBL386184	7.8
CHEMBL1904	CHEMBL220660	14
CHEMBL1904	CHEMBL218104	206
CHEMBL1904	CHEMBL218713	3.4
CHEMBL1904	CHEMBL218547	122
CHEMBL1904	CHEMBL435316	23
CHEMBL1904	CHEMBL218460	1170
CHEMBL1904	CHEMBL219113	190
CHEMBL1904	CHEMBL217955	310
CHEMBL1904	CHEMBL217940	720
CHEMBL1904	CHEMBL219114	227
CHEMBL1904	CHEMBL218017	37
CHEMBL1904	CHEMBL221605	18
CHEMBL1904	CHEMBL48029	93
CHEMBL1904	CHEMBL217915	7400
CHEMBL1904	CHEMBL221133	23
CHEMBL1962	CHEMBL45198	1.3
CHEMBL1962	CHEMBL2163548	3800
CHEMBL1962	CHEMBL363211	0.8
CHEMBL1962	CHEMBL52030	49
CHEMBL2094	CHEMBL1163419	1.26
CHEMBL2094	CHEMBL1628528	3.16
CHEMBL2094	CHEMBL216504	199.53
CHEMBL2094	CHEMBL1253351	501.19
CHEMBL2104	CHEMBL1163419	48.9
CHEMBL2184	CHEMBL386114	200
CHEMBL2472	CHEMBL45198	27.9
CHEMBL2492	CHEMBL2179519	20000
CHEMBL2492	CHEMBL2179517	20000
CHEMBL2492	CHEMBL2179867	705
CHEMBL2492	CHEMBL203627	12341.1225
CHEMBL2492	CHEMBL2179868	5.9
CHEMBL2492	CHEMBL177611	24.55
CHEMBL2492	CHEMBL415570	108.4725
CHEMBL2492	CHEMBL2179520	1e+05
CHEMBL2492	CHEMBL2179518	1e+05
CHEMBL2492	CHEMBL257591	829.245
CHEMBL2492	CHEMBL1947049	3162.28
CHEMBL2492	CHEMBL2180258	11.5
CHEMBL2492	CHEMBL2177549	111.4
CHEMBL2492	CHEMBL1947051	15848.93
CHEMBL2492	CHEMBL451252	30
CHEMBL2492	CHEMBL3	8397.321
CHEMBL2492	CHEMBL382243	1867.705
CHEMBL2492	CHEMBL1258127	28.84
CHEMBL2492	CHEMBL1210577	7.94
CHEMBL2492	CHEMBL388341	16500
CHEMBL2492	CHEMBL1210578	10
CHEMBL2492	CHEMBL2179957	7600
CHEMBL2492	CHEMBL386114	200
CHEMBL2492	CHEMBL1210703	158.49
CHEMBL2492	CHEMBL1255908	38.9
CHEMBL2492	CHEMBL1789658	979
CHEMBL2492	CHEMBL2177548	4545
CHEMBL2492	CHEMBL411145	5
CHEMBL2492	CHEMBL2179869	1097
CHEMBL2492	CHEMBL2177526	1849
CHEMBL2492	CHEMBL2179521	13000
CHEMBL2492	CHEMBL1255823	6918.31
CHEMBL2492	CHEMBL1257896	79.33
CHEMBL2492	CHEMBL1258241	25.7
CHEMBL2492	CHEMBL1210702	1258.93
CHEMBL2492	CHEMBL2177543	105
CHEMBL2492	CHEMBL2179560	14000
CHEMBL2492	CHEMBL1947048	39810.72
CHEMBL2492	CHEMBL1210643	25.12
CHEMBL2492	CHEMBL1210517	3.16
CHEMBL2492	CHEMBL132966	8000
CHEMBL2492	CHEMBL1255907	1949.84
CHEMBL2492	CHEMBL1256002	2290.87
CHEMBL2492	CHEMBL2180264	413
CHEMBL2492	CHEMBL2177546	17
CHEMBL2492	CHEMBL1258358	37.15
CHEMBL2492	CHEMBL105374	40
CHEMBL2492	CHEMBL1258126	18.62
CHEMBL2492	CHEMBL604798	16.4
CHEMBL2492	CHEMBL2180260	36.1
CHEMBL2492	CHEMBL2180257	15.7
CHEMBL2492	CHEMBL2177533	641
CHEMBL2492	CHEMBL1210518	10
CHEMBL2492	CHEMBL1256003	6309.57
CHEMBL2492	CHEMBL142049	3162.28
CHEMBL2492	CHEMBL1255822	14454.4
CHEMBL2492	CHEMBL415569	289.355
CHEMBL2492	CHEMBL1258006	1.875
CHEMBL2492	CHEMBL1210458	1258.93
CHEMBL2492	CHEMBL1258005	8.46
CHEMBL2492	CHEMBL415568	807.74
CHEMBL2492	CHEMBL2179556	14000
CHEMBL2492	CHEMBL1210579	10
CHEMBL2492	CHEMBL2179871	4.3
CHEMBL2492	CHEMBL2338387	790
CHEMBL2492	CHEMBL411736	61
CHEMBL2492	CHEMBL388048	1435.955
CHEMBL2492	CHEMBL2177541	4.6
CHEMBL2492	CHEMBL1256001	3311.31
CHEMBL2492	CHEMBL1256004	8511.38
CHEMBL2492	CHEMBL1616460	15848.93
CHEMBL2492	CHEMBL2180262	59
CHEMBL2492	CHEMBL389120	94.4975
CHEMBL2492	CHEMBL1255909	109.65
CHEMBL2492	CHEMBL230952	193.73
CHEMBL2492	CHEMBL1210515	2
CHEMBL2492	CHEMBL2179862	2.8
CHEMBL2492	CHEMBL2179537	8800
CHEMBL2492	CHEMBL229999	2994.0825
CHEMBL2492	CHEMBL409988	9.6
CHEMBL2492	CHEMBL2180263	29
CHEMBL2492	CHEMBL2177536	4
CHEMBL2492	CHEMBL388049	230.18
CHEMBL2492	CHEMBL2177542	605
CHEMBL2492	CHEMBL390135	47.68
CHEMBL2492	CHEMBL231056	683.8225
CHEMBL2492	CHEMBL1258125	43.65
CHEMBL2492	CHEMBL2179872	4.5
CHEMBL2492	CHEMBL2179962	20
CHEMBL2492	CHEMBL412032	0.3
CHEMBL2492	CHEMBL2177528	80
CHEMBL2492	CHEMBL1210641	25.12
CHEMBL2492	CHEMBL2177517	281
CHEMBL2492	CHEMBL2179866	56.3
CHEMBL2492	CHEMBL194082	4.98
CHEMBL2492	CHEMBL365323	14.6
CHEMBL2492	CHEMBL2180261	259
CHEMBL2492	CHEMBL2180265	818
CHEMBL2492	CHEMBL388212	1119.64333333333
CHEMBL2492	CHEMBL388047	504.2975
CHEMBL2492	CHEMBL1258240	2.69
CHEMBL2492	CHEMBL2179559	1e+05
CHEMBL2492	CHEMBL2177529	590
CHEMBL2492	CHEMBL188318	44000
CHEMBL2492	CHEMBL606669	25000
CHEMBL2492	CHEMBL2178158	39
CHEMBL2492	CHEMBL2151572	7.14
CHEMBL2492	CHEMBL2177538	1.2
CHEMBL2492	CHEMBL2177540	74
CHEMBL2492	CHEMBL1624521	19952.62
CHEMBL2492	CHEMBL1831048	19952.62
CHEMBL2492	CHEMBL2179956	19000
CHEMBL2492	CHEMBL2179557	14000
CHEMBL2492	CHEMBL491861	7159.625
CHEMBL2492	CHEMBL2179961	840
CHEMBL2492	CHEMBL2179522	34000
CHEMBL2492	CHEMBL2179863	240
CHEMBL2492	CHEMBL2180259	352
CHEMBL2492	CHEMBL2179870	87.7
CHEMBL2492	CHEMBL2179516	5900
CHEMBL2492	CHEMBL2177516	77
CHEMBL2492	CHEMBL2177539	70
CHEMBL2492	CHEMBL2177547	43.9
CHEMBL2492	CHEMBL396705	225.18
CHEMBL2492	CHEMBL2179554	1600
CHEMBL2492	CHEMBL56564	6.9
CHEMBL2492	CHEMBL1210516	2
CHEMBL2492	CHEMBL188383	8500
CHEMBL2492	CHEMBL2177532	3220
CHEMBL2492	CHEMBL439347	441
CHEMBL2492	CHEMBL2177537	1.3
CHEMBL2492	CHEMBL1946189	1584.89
CHEMBL2492	CHEMBL2178159	23
CHEMBL2492	CHEMBL244561	59.805
CHEMBL2492	CHEMBL1210640	31.62
CHEMBL2492	CHEMBL2177545	22
CHEMBL2492	CHEMBL1876219	71000
CHEMBL2492	CHEMBL2151441	3
CHEMBL2492	CHEMBL2179558	8200
CHEMBL2492	CHEMBL194984	26.9
CHEMBL2492	CHEMBL405936	14700
CHEMBL2492	CHEMBL2338385	390
CHEMBL2492	CHEMBL1210576	6.31
CHEMBL2492	CHEMBL229998	25.6425
CHEMBL2492	CHEMBL2177520	4847
CHEMBL2492	CHEMBL195329	3.4
CHEMBL2492	CHEMBL497939	1420
CHEMBL2492	CHEMBL1256000	43.65
CHEMBL2492	CHEMBL2177531	1421
CHEMBL2492	CHEMBL490843	1437.63
CHEMBL2492	CHEMBL191491	110
CHEMBL2492	CHEMBL2179536	8600
CHEMBL2492	CHEMBL388564	95000
CHEMBL2492	CHEMBL1210642	25.12
CHEMBL2492	CHEMBL1947047	19952.62
CHEMBL2492	CHEMBL2178157	13
CHEMBL2492	CHEMBL265198	8
CHEMBL2492	CHEMBL1831037	10000
CHEMBL2492	CHEMBL231047	2074.195
CHEMBL2492	CHEMBL388046	445.5375
CHEMBL2492	CHEMBL2179555	14000
CHEMBL2492	CHEMBL2177530	33
CHEMBL2492	CHEMBL403858	9
CHEMBL2492	CHEMBL2338384	2000
CHEMBL2492	CHEMBL1628598	0.07
CHEMBL2492	CHEMBL206666	3610.8375
CHEMBL2492	CHEMBL1831027	19952.62
CHEMBL2492	CHEMBL395960	289.355
CHEMBL2492	CHEMBL395727	256.44
CHEMBL2492	CHEMBL2177550	7565
CHEMBL2492	CHEMBL2179963	350
CHEMBL2492	CHEMBL2179875	0.8
CHEMBL2492	CHEMBL199152	25
CHEMBL2492	CHEMBL225853	91500
CHEMBL2492	CHEMBL440387	524.5
CHEMBL2492	CHEMBL2177513	23
CHEMBL2492	CHEMBL411146	1.5
CHEMBL2492	CHEMBL429557	0.75
CHEMBL2492	CHEMBL2179865	6.2
CHEMBL2492	CHEMBL2177109	30
CHEMBL2492	CHEMBL270479	4200
CHEMBL2492	CHEMBL335712	98000
CHEMBL2492	CHEMBL2180256	33.8
CHEMBL2492	CHEMBL1398031	13950
CHEMBL2492	CHEMBL437423	1.1
CHEMBL2492	CHEMBL667	7943.28
CHEMBL2492	CHEMBL2177555	15
CHEMBL2492	CHEMBL2177554	1007
CHEMBL2492	CHEMBL2177552	3.3
CHEMBL2492	CHEMBL2177518	19
CHEMBL2492	CHEMBL6623	5.53
CHEMBL2492	CHEMBL2179858	219
CHEMBL2492	CHEMBL2177524	39
CHEMBL2492	CHEMBL59986	148
CHEMBL2492	CHEMBL2179964	40
CHEMBL2492	CHEMBL214268	7
CHEMBL2492	CHEMBL198035	617
CHEMBL2492	CHEMBL2151570	0.2
CHEMBL2492	CHEMBL2179540	4700
CHEMBL2492	CHEMBL2338386	1600
CHEMBL2492	CHEMBL365181	268.4
CHEMBL2492	CHEMBL2177512	1.6
CHEMBL2492	CHEMBL2177514	7.2
CHEMBL2492	CHEMBL372041	4.1
CHEMBL2492	CHEMBL2177521	330
CHEMBL2492	CHEMBL370535	1.8
CHEMBL2492	CHEMBL2179874	0.51
CHEMBL2492	CHEMBL2178160	13
CHEMBL2492	CHEMBL2179879	3.8
CHEMBL2492	CHEMBL2180255	12.3
CHEMBL2492	CHEMBL1947053	7943.28
CHEMBL2492	CHEMBL518059	20000
CHEMBL2492	CHEMBL2178155	160
CHEMBL2492	CHEMBL231592	44000
CHEMBL2492	CHEMBL510275	4.362
CHEMBL2492	CHEMBL225851	24000
CHEMBL2492	CHEMBL2177553	1.6
CHEMBL2492	CHEMBL2179864	66.2
CHEMBL2492	CHEMBL122270	7943.28
CHEMBL2492	CHEMBL894	50000
CHEMBL2492	CHEMBL1946187	1000
CHEMBL2492	CHEMBL412119	1300
CHEMBL2492	CHEMBL257155	1800
CHEMBL2492	CHEMBL2179882	5.9
CHEMBL2492	CHEMBL2179873	1.1
CHEMBL2492	CHEMBL2151443	17
CHEMBL2492	CHEMBL2179523	1e+05
CHEMBL2492	CHEMBL2179968	7800
CHEMBL2492	CHEMBL2179877	0.9
CHEMBL2492	CHEMBL428492	1548.815
CHEMBL2492	CHEMBL2179854	961
CHEMBL2492	CHEMBL195800	16.7
CHEMBL2492	CHEMBL1947062	15848.93
CHEMBL2492	CHEMBL2151438	0.03
CHEMBL2492	CHEMBL2177551	3.6
CHEMBL2492	CHEMBL1946188	12589.25
CHEMBL2492	CHEMBL2179857	30
CHEMBL2492	CHEMBL2179840	2156
CHEMBL2492	CHEMBL2177525	6530
CHEMBL2492	CHEMBL559478	14
CHEMBL2492	CHEMBL112640	11000
CHEMBL2492	CHEMBL499536	199.765
CHEMBL2492	CHEMBL1947061	25118.86
CHEMBL2492	CHEMBL2151439	6
CHEMBL2492	CHEMBL1828845	3981.07
CHEMBL2492	CHEMBL2179843	112
CHEMBL2492	CHEMBL2179839	31
CHEMBL2492	CHEMBL429317	600
CHEMBL2492	CHEMBL2179883	22.1
CHEMBL2492	CHEMBL149667	1.06
CHEMBL2492	CHEMBL194100	3.4
CHEMBL2492	CHEMBL2179878	1.2
CHEMBL2492	CHEMBL195190	1.1
CHEMBL2492	CHEMBL2179539	3700
CHEMBL2492	CHEMBL2338388	5800
CHEMBL2492	CHEMBL2332144	91
CHEMBL2492	CHEMBL2332145	1e+05
CHEMBL2492	CHEMBL372895	121.2
CHEMBL2492	CHEMBL2057713	8000
CHEMBL2492	CHEMBL225852	19500
CHEMBL2492	CHEMBL1625371	15848.93
CHEMBL2492	CHEMBL2179965	210
CHEMBL2492	CHEMBL2179538	8200
CHEMBL2492	CHEMBL1947056	12589.25
CHEMBL2492	CHEMBL2178156	73
CHEMBL2492	CHEMBL1947059	10000
CHEMBL2492	CHEMBL2151437	3
CHEMBL2492	CHEMBL364069	1.3
CHEMBL2492	CHEMBL2179844	6.4
CHEMBL2492	CHEMBL1687	3100
CHEMBL2492	CHEMBL2178154	8006
CHEMBL2492	CHEMBL2180253	1.8
CHEMBL2492	CHEMBL2179881	2.1
CHEMBL2492	CHEMBL188469	6.9
CHEMBL2492	CHEMBL2179880	11.2
CHEMBL2492	CHEMBL2179967	8200
CHEMBL2492	CHEMBL2179859	168
CHEMBL2492	CHEMBL2179534	6300
CHEMBL2492	CHEMBL2338389	670
CHEMBL2492	CHEMBL1947054	5011.87
CHEMBL2492	CHEMBL2177535	79
CHEMBL2492	CHEMBL388342	74000
CHEMBL2492	CHEMBL2179852	1803
CHEMBL2492	CHEMBL2057714	7600
CHEMBL2492	CHEMBL1947205	12589.25
CHEMBL2492	CHEMBL366923	1.06
CHEMBL2492	CHEMBL2179847	52.5
CHEMBL2492	CHEMBL2179837	500
CHEMBL2492	CHEMBL2177523	1305
CHEMBL2492	CHEMBL2179853	94
CHEMBL2492	CHEMBL2057712	7900
CHEMBL2492	CHEMBL1947055	6309.57
CHEMBL2492	CHEMBL2179971	15000
CHEMBL2492	CHEMBL2179846	76
CHEMBL2492	CHEMBL2179856	60
CHEMBL2492	CHEMBL2179842	15
CHEMBL2492	CHEMBL2180250	2.2
CHEMBL2492	CHEMBL2180251	5
CHEMBL2492	CHEMBL195345	3.1
CHEMBL2492	CHEMBL2177522	20
CHEMBL2492	CHEMBL504652	6900
CHEMBL2492	CHEMBL2179969	560
CHEMBL2492	CHEMBL1132	1.06
CHEMBL2492	CHEMBL2179966	5900
CHEMBL2492	CHEMBL2180252	5.5
CHEMBL2492	CHEMBL2179533	4600
CHEMBL2492	CHEMBL2179849	20
CHEMBL2492	CHEMBL1947206	12589.25
CHEMBL2492	CHEMBL2179526	1200
CHEMBL2492	CHEMBL2179525	1300
CHEMBL2492	CHEMBL2179841	46
CHEMBL2492	CHEMBL2179850	150
CHEMBL2492	CHEMBL2179970	5500
CHEMBL2492	CHEMBL2179861	2027
CHEMBL2492	CHEMBL193329	8.3
CHEMBL2492	CHEMBL2179529	6700
CHEMBL2492	CHEMBL195519	420
CHEMBL2492	CHEMBL2179851	24.1
CHEMBL2492	CHEMBL2180254	4.7
CHEMBL2492	CHEMBL2179531	2600
CHEMBL2492	CHEMBL2179848	851
CHEMBL2579	CHEMBL45198	65.9
CHEMBL2675	CHEMBL275040	177
CHEMBL2675	CHEMBL121915	0.24
CHEMBL2675	CHEMBL331696	30.9
CHEMBL2675	CHEMBL120808	1150
CHEMBL2675	CHEMBL331644	2.9
CHEMBL2675	CHEMBL121553	19.8
CHEMBL2675	CHEMBL123132	1820
CHEMBL2675	CHEMBL575060	701
CHEMBL2675	CHEMBL333964	9.1
CHEMBL2675	CHEMBL276815	2144
CHEMBL2675	CHEMBL121388	57.1
CHEMBL2675	CHEMBL121191	393
CHEMBL2675	CHEMBL122656	1980
CHEMBL2675	CHEMBL122005	28900
CHEMBL2998	CHEMBL1163419	1.26
CHEMBL2998	CHEMBL2011125	24
CHEMBL2998	CHEMBL2324342	21
CHEMBL2998	CHEMBL596234	31.62
CHEMBL3026	CHEMBL45198	0.5
CHEMBL3026	CHEMBL373250	0.7
CHEMBL3026	CHEMBL52030	25
CHEMBL3026	CHEMBL363211	0.8
CHEMBL3068	CHEMBL555703	9960
CHEMBL3068	CHEMBL564825	1390
CHEMBL3068	CHEMBL551330	4020
CHEMBL3068	CHEMBL561469	2090
CHEMBL3068	CHEMBL564850	4910
CHEMBL3068	CHEMBL552994	4750
CHEMBL3068	CHEMBL365956	15.6
CHEMBL3561	CHEMBL2315213	29050
CHEMBL3561	CHEMBL243929	22000
CHEMBL3561	CHEMBL96	635
CHEMBL3561	CHEMBL273481	1500
CHEMBL3561	CHEMBL446306	9760
CHEMBL3561	CHEMBL230115	39700
CHEMBL3561	CHEMBL2337889	76540
CHEMBL3561	CHEMBL397209	2220
CHEMBL3683	CHEMBL76232	1106
CHEMBL3684	CHEMBL222519	31000
CHEMBL3895	CHEMBL1628633	1.2
CHEMBL3895	CHEMBL289469	1.58
CHEMBL3895	CHEMBL266591	2511.89
CHEMBL3895	CHEMBL56564	1.58
CHEMBL3895	CHEMBL1628595	2
CHEMBL3895	CHEMBL13790	1584.89
