,MinAbsPartialCharge,NumRadicalElectrons,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,aveaffinty
1342,0.0446287990972,0.0,196.168,3.39086789809,0.368484135008,3.39086789809,-0.368484135008,212.13134851200002,82.0,1.08652895881,1.08652895881,0.0446287990972,2.07755407394,481.56425296699996,10.794682451,9.31709260457,9.31709260457,7.94948974278,5.88453631602,5.88453631602,4.23532244203,4.23532244203,3.22430423999,3.22430423999,2.3898027479299997,2.3898027479299997,-1.54,9581.13493267,9.66938273719,4.14249164043,1.6533691922100002,95.8767008091,10.2166983349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.398202410799996,11.4525912829,37.252636112800005,0.0,0.0,16.4598347036,0.0,5.316788604009999,0.0,0.0,31.078935354499997,42.4645694792,0.0,0.0,10.2166983349,5.687386274680001,0.0,0.0,26.1790256237,0.0,0.0,0.0,42.4645694792,0.0,10.7724484289,0.0,15.27,0.0,0.0,0.0,0.0,0.0,26.1790256237,16.4598347036,0.0,0.0,52.681267814099996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.28571428571400004,16.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,2.2494,69.0307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
1797,0.119548456601,0.0,272.222,5.899205955529999,0.493576228072,5.899205955529999,-0.493576228072,302.23581358,122.0,0.6766560964659999,0.6766560964659999,0.119548456601,1.73378073214,547.358801158,15.6231095757,13.866067448299999,13.866067448299999,10.8468665528,8.77709188297,8.77709188297,6.029760829990001,6.029760829990001,4.16918291888,4.16918291888,2.85883095376,2.85883095376,-1.48,137967.749835,16.8831099625,9.51951315948,5.05942504315,133.79002725700002,15.454508951900001,5.749511833280001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4486669372,43.1489523488,17.0997685037,6.606881964509999,4.7368629538,10.902924932100001,0.0,4.98397852095,5.73366747716,58.290310183100004,13.151638370399999,29.959396268699997,0.0,5.749511833280001,10.470530431,0.0,5.749511833280001,0.0,18.1356168914,6.42082162293,0.0,57.4329400519,24.395944776999997,0.0,10.902924932100001,0.0,51.04,0.0,0.0,0.0,0.0,6.544756405909999,30.7147377613,49.4746054437,0.0,6.06636706846,30.2372934292,10.470530431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6666666667,0.578947368421,22.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,11.0,0.0,0.0,0.0,2.0,4.7985,94.5451,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0
4656,0.195501880412,0.0,347.93,6.078704976059999,0.354253991509,6.078704976059999,-0.354253991509,354.914000616,80.0,0.6002777777780001,0.6002777777780001,0.195501880412,2.27181284355,396.81363820900003,10.8364988143,7.65002111528,11.3193772985,7.16470379795,4.3650352022500005,6.19971329386,3.0265391266400004,5.08657159931,1.92444716465,3.14344563749,1.26165258913,2.83419170564,-0.2,3583.26112982,11.290306040699999,4.75757932834,2.6753063043000003,111.383815737,10.633577208,0.0,5.959554568740001,0.0,0.0,0.0,4.99240473264,0.0,0.0,0.0,23.2018797805,34.723604764,10.114938677,22.2774093081,0.0,57.439691251000006,0.0,5.316788604009999,4.99240473264,0.0,18.406301415799998,25.748183035500002,0.0,0.0,10.633577208,5.687386274680001,0.0,45.7927504075,19.0490673806,0.0,3.5701822710699997,0.0,17.1251388696,10.0452666275,0.0,0.0,36.42,0.0,0.0,0.0,0.0,15.7326529022,22.619249651599997,0.0,0.0,12.1327341369,38.2168525677,23.2018797805,0.0,12.1574099521,0.0,0.0,0.0,0.0,0.0,0.0,1.00876842404,18.339548781199998,0.222222222222,15.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,6.0,1.0,0.0,0.0,0.0,2.0,2.9691,73.1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
5202,0.11583814000399999,0.0,164.123,9.29614229025,0.507941389463,9.29614229025,-0.507941389463,176.09496300400002,68.0,0.29664021164,0.29664021164,0.11583814000399999,2.57600035514,419.78200909099996,9.25914854506,7.248178503819999,7.248178503819999,6.30886175029,4.300792619709999,4.300792619709999,3.0824754032499997,3.0824754032499997,2.16468159655,2.16468159655,1.5287342631,1.5287342631,-1.48,1482.8886714000002,8.13345935959,3.10614290778,1.38044877135,76.18623675020001,15.824173392999999,5.749511833280001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7281307259,17.0997685037,0.0,5.1065273948400005,10.902924932100001,0.0,4.98397852095,5.73366747716,6.42082162293,6.544756405909999,29.959396268699997,0.0,5.749511833280001,5.73366747716,0.0,5.749511833280001,0.0,16.6352623217,6.42082162293,0.0,5.5634514916999995,24.395944776999997,0.0,10.902924932100001,0.0,62.04,0.0,5.1065273948400005,0.0,0.0,12.294268239200001,22.8871980467,0.0,12.1327341369,12.2632106401,4.98397852095,5.73366747716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1666666667,0.2,13.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,1.3747,52.7219,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5358,0.21502528198000004,0.0,274.24,11.6174227523,0.360888948175,11.6174227523,-0.360888948175,295.135447912,110.0,-3.23126930325,0.0116473765432,0.21502528198000004,2.29341151035,689.506969995,14.750712376600001,12.1026798872,12.9191764681,9.409815381589999,6.55927849227,8.211543718589999,5.21033518329,7.1367543605499995,3.32787971923,4.66326134819,2.15782455096,2.9205526901,-1.37,31461.9525277,15.027158953599999,5.948317132030001,3.59216660128,119.582352505,9.8838882518,0.0,0.0,10.0232911534,0.0,0.0,0.0,13.139891848800001,0.0,0.0,6.06636706846,50.8234746913,23.6445249096,5.75285360675,8.417796984330002,20.9262160855,0.0,14.6059831162,0.0,12.1736752297,27.687772353899998,35.5228477604,0.0,0.0,4.72209486445,0.0,0.0,0.0,45.9894575901,22.196966383099998,0.0,11.126902983399999,24.395944776999997,0.0,10.902924932100001,0.0,65.2,10.0232911534,8.417796984330002,0.0,5.75285360675,0.0,29.431954452600003,12.611123474400001,0.0,38.491288742399995,14.6059831162,0.0,0.0,-3.23126930325,0.0,0.0,0.0,0.0,0.0,0.0,23.2348455046,27.079757131999997,0.428571428571,20.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,6.0,6.0,0.0,0.0,0.0,2.0,1.3212,82.2402,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23333333333
5709,0.100859846469,0.0,220.19,4.489925004719999,0.37169944960999995,4.489925004719999,-0.37169944960999995,244.19394876799998,98.0,0.219420981356,0.219420981356,0.100859846469,2.31816340413,455.35570707,13.3364988143,12.2232344774,12.2232344774,8.37602866335,6.75519527393,6.75519527393,6.27056377877,6.27056377877,3.64980350685,3.64980350685,2.43806035258,2.43806035258,-1.31,11747.9332305,13.1294507377,4.7530172185,2.7414745193,110.520177779,5.316788604009999,5.83561978576,0.0,0.0,0.0,0.0,4.99240473264,0.0,0.0,0.0,32.903945736,41.5162708356,12.965578028800001,6.544756405909999,0.0,5.83561978576,0.0,5.316788604009999,4.99240473264,46.4544980908,13.0895128118,34.3865401037,0.0,0.0,5.316788604009999,0.0,0.0,0.0,18.9251325976,11.8358120923,13.847474399400001,43.0250175659,17.1251388696,0.0,0.0,0.0,24.39,0.0,0.0,0.0,5.4149904694,0.0,25.3459542205,22.253805966799998,0.0,0.0,57.060613472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5833333333,0.5625,18.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,3.14514,78.6247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
8223,0.280215641331,0.0,546.393,14.1727040972,0.360870664496,14.1727040972,-0.360870664496,581.26381922,222.0,-2.0420784156400003,0.144164283407,0.280215641331,1.11158115803,1701.84891957,29.6726331496,24.2473919996,24.2473919996,20.6763075902,15.118173470899999,15.118173470899999,12.783564676900001,12.783564676900001,10.1317071031,10.1317071031,8.12260806193,8.12260806193,-3.99,10186305265.5,26.623627174699998,9.2533227185,3.79191174692,248.816172128,20.307204250599998,12.0836816583,0.0,17.5393450527,11.8182256649,0.0,28.9202939677,0.0,0.0,0.0,48.5405895861,61.56370012479999,42.6519437676,5.91790604616,24.227001900900003,34.1975686502,0.0,25.0004963175,5.91790604616,62.368577708400004,20.1371847945,77.4941547012,0.0,0.0,5.316788604009999,0.0,0.0,0.0,92.41051310790002,31.9621177519,5.91790604616,36.4557349206,60.803800226099995,0.0,16.4760294622,0.0,118.21,35.544798963299996,19.4901389471,0.0,24.2770219108,25.9311560577,28.637529854,22.7733226367,4.89990973085,49.5218945003,33.5302545643,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3333333333,0.424242424242,43.0,3.0,10.0,1.0,4.0,5.0,2.0,1.0,3.0,6.0,3.0,10.0,4.0,0.0,3.0,3.0,8.0,1.9908,157.9852,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3
26395,0.115838140013,0.0,212.167,9.51850340136,0.507941389463,9.51850340136,-0.507941389463,232.15756326,92.0,0.334434418829,0.334434418829,0.115838140013,2.15511014949,485.927908675,12.250712376600001,10.5322553925,10.5322553925,8.24071340287,6.25544118967,6.25544118967,4.32068299169,4.32068299169,3.34280238514,3.34280238514,2.19163201477,2.19163201477,-1.48,10581.276942,11.989604676099999,5.2333915304000005,2.61181593848,102.06594818100001,14.9904156466,5.749511833280001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399400001,43.272887131800005,23.6445249096,0.0,5.1065273948400005,10.902924932100001,0.0,9.8838882518,0.0,20.2682960223,19.634269217699998,29.959396268699997,0.0,5.749511833280001,0.0,0.0,5.749511833280001,0.0,34.6246848644,6.42082162293,0.0,19.4109258911,24.395944776999997,0.0,10.902924932100001,0.0,39.26,0.0,5.1065273948400005,0.0,0.0,5.749511833280001,36.9580157727,5.5634514916999995,6.06636706846,18.3295777085,23.731362651199998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1666666667,0.428571428571,17.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,2.7578,71.4555,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
59022,0.120073356065,0.0,272.222,5.9258279006,0.488891812104,5.9258279006,-0.488891812104,294.173213324,114.0,0.600992693374,0.600992693374,0.120073356065,1.7470832208700002,731.5348147880001,15.3635965517,13.1729346522,13.1729346522,10.7203466906,7.63662876146,7.63662876146,5.848853258840001,5.848853258840001,3.8155694278400003,3.8155694278400003,2.53910057146,2.53910057146,-2.26,166757.08598,14.6678764084,6.66798922199,3.4902837168,131.07741175,14.6207512056,12.3563937978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3318353423,49.8421697771,23.6445249096,0.0,4.7368629538,10.902924932100001,0.0,9.8838882518,0.0,13.0277035874,20.6401003713,65.85468310270001,0.0,5.749511833280001,4.7368629538,0.0,5.749511833280001,0.0,30.5239886231,13.0277035874,0.0,11.126902983399999,54.7277801193,0.0,10.902924932100001,0.0,28.26,0.0,0.0,0.0,0.0,6.606881964509999,18.7150898621,22.0298279155,0.0,24.2654682738,54.4415440626,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8333333333,0.263157894737,22.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.8510000000000004,91.3307,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
66004,0.190759373779,0.0,276.214,6.02639218189,0.48881186100100005,6.02639218189,-0.48881186100100005,302.210661452,120.0,0.29837530852099997,0.29837530852099997,0.190759373779,1.27182875912,503.187234361,15.0373231381,13.1061742626,13.1061742626,10.915816238,8.391274772480001,8.391274772480001,5.88136921897,5.88136921897,4.09393114999,4.09393114999,2.8582780397000005,2.8582780397000005,-1.75,178110.666355,15.1574611791,8.03377320072,4.37041647804,132.092558337,20.6872287658,11.853478221,5.959554568740001,0.0,0.0,0.0,4.99240473264,0.0,0.0,0.0,18.199101205399998,43.8578614578,26.1790256237,0.0,4.7368629538,5.959554568740001,0.0,15.950365812000001,4.99240473264,31.7872528795,32.7237820296,29.8289197655,0.0,5.749511833280001,20.6872287658,0.0,5.749511833280001,0.0,44.787302986099995,6.42082162293,0.0,24.825916360500003,29.257873006500002,0.0,0.0,0.0,57.68,0.0,0.0,0.0,0.0,6.10396638775,70.1161349233,5.5634514916999995,0.0,6.06636706846,39.14187175,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8333333333,0.588235294118,22.0,3.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,5.0,3.0,5.0,6.0,0.0,0.0,0.0,3.0,1.2988,89.5901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.4
77993,0.17820225495900002,0.0,356.32099999999997,12.5405778799,0.360888765642,12.5405778799,-0.360888765642,382.17149907199996,142.0,-3.2489057172900004,0.13257834152200001,0.17820225495900002,1.51877861893,1024.90721363,18.8551603833,15.688101845899999,16.5045984268,13.0268065704,9.59744396996,11.249709196300001,7.55655803633,9.66570659979,5.72067519656,7.452655860119999,4.03886962356,5.3508100358499995,-2.11,2292301.48275,18.2624974195,7.48640838016,3.94177023456,160.67826009200002,9.8838882518,0.0,9.83725313642,0.0,0.0,0.0,0.0,8.417796984330002,0.0,0.0,24.2654682738,74.6680861375,23.1416093328,10.6483370823,8.417796984330002,20.7401780685,0.0,9.8838882518,0.0,36.6206107964,19.3452819953,65.85468310270001,0.0,0.0,0.0,0.0,0.0,0.0,43.6888080606,22.6788963823,0.0,23.9685462292,59.623263594799994,0.0,10.902924932100001,0.0,53.17,9.83725313642,8.417796984330002,0.0,5.75285360675,17.3581459276,17.5009738322,30.3360753579,24.2654682738,12.1327341369,35.261137943,0.0,0.0,-3.2489057172900004,0.0,0.0,0.0,0.0,0.0,0.0,25.0811557598,36.2510832908,0.363636363636,27.0,1.0,4.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,5.0,6.0,0.0,1.0,1.0,4.0,3.821,109.8535,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26
78576,0.19543733256499998,0.0,174.142,4.30763038549,0.35425487375500003,4.30763038549,-0.35425487375500003,189.12659748,74.0,0.868315617914,0.868315617914,0.19543733256499998,2.2296355832700003,348.545435295,9.96625532625,8.59347796544,8.59347796544,6.77085694783,4.887404890219999,4.887404890219999,3.54891300065,3.54891300065,2.3986928936700003,2.3986928936700003,1.61166188195,1.61166188195,-1.51,2573.30515247,9.06105145013,3.69825780734,1.7121502732700002,84.245329391,10.633577208,0.0,5.959554568740001,0.0,0.0,0.0,4.99240473264,0.0,0.0,0.0,18.199101205399998,24.974377382800004,12.232142680599999,6.544756405909999,0.0,11.6469408434,0.0,5.316788604009999,4.99240473264,13.847474399400001,18.406301415799998,29.326004188800002,0.0,0.0,10.633577208,5.687386274680001,0.0,0.0,19.0490673806,0.0,13.847474399400001,11.126902983399999,23.191505938000002,0.0,0.0,0.0,36.42,0.0,0.0,0.0,0.0,0.0,19.0490673806,16.8142892581,0.0,0.0,47.6725575454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6666666667,0.363636363636,14.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.6745400000000001,59.8434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2075.0
